Fairness Metrics,LR Starting value,LR Unawareness,Disparate Impact,Reweighting,Equalised Odds,Reject Option Classification
Base_rate,0.4278166666666667,0.4191888888888889,0.42705,0.4191888888888889,0.3519777777777778,0.4191888888888889
Consistency,0.0,0.0,0.0,0.0,0.0,0.0
Disparate_impact,1.9625528016973202,1.3286769974180719,1.3281437630121746,1.3286769974180719,1.1043642184987426,1.3286769974180719
Mean_difference,0.3606526205226964,0.1288599054012809,0.13430632784069257,0.1288599054012809,0.045593576386764756,0.1288599054012809
Num_instances,180000.0,180000.0,180000.0,180000.0,180000.0,180000.0
Num_negatives,102993.0,104546.0,103131.0,104546.0,116644.0,104546.0
Num_positives,77007.0,75454.0,76869.0,75454.0,63356.0,75454.0
Smoothed_empirical_differential_fairness,4.929672069201788,4.419299679039329,3.6081413290543893,4.419299679039329,9.955981230860608,4.419299679039329
AverageOddsDifference,0.29720264453260126,0.0796644307286288,0.08423679875100212,0.0796644307286288,-0.00098021764821829,0.0796644307286288
AveragAbsOddsDifference,0.29720264453260126,0.0796644307286288,0.08423679875100212,0.0796644307286288,0.0031593463441037806,0.0796644307286288
EqualOpportunityDifference,0.2521854823159875,0.07968723103815523,0.08193195279361731,0.07968723103815523,-0.004139563992322071,0.07968723103815523
Errorrate,0.35006111111111116,0.3469555555555556,0.35135000000000005,0.3469555555555556,0.34568888888888893,0.3469555555555556
ErrorrateRatio,1.4542532014705907,1.083479716513509,1.0760417992287963,1.083479716513509,0.9832154560909275,1.083479716513509
FalseDiscoveryRate,0.6692768189904814,0.6690566437829671,0.6710897761126071,0.6690566437829671,0.6995391123176968,0.6690566437829671
FalseDiscoveryRatio,0.8548266951221967,0.7525716656781143,0.7577757315891522,0.7525716656781143,0.7356631317650324,0.7525716656781143
FalseOmissionRate,0.11138621071334945,0.11448548964092362,0.11303099940851927,0.11448548964092362,0.15349267857755222,0.11448548964092362
FalseOmissionRatio,1.403702531445492,1.8277545432130082,1.8187580987479037,1.8277545432130082,2.0517972598106766,1.8277545432130082
